Product Name,Price Before Discount,Current Price After Discount,Discount
Fashion Mens Slipon Sports Shoes Loafers Canvas Casual Classic Running Sneaker Blue,"KSh 1,600",KSh 690,57%
RichRipple Rechargeable 2.4G Wireless Slient Mouse Bluetooth 5.0 USB LED Ultrathin Mice,KSh 734,KSh 403,45%
PU Leather Large Capacity Travel Cosmetic Bag Portable,KSh 700,KSh 415,41%
Fashion Wide Band Satin Hair Bonnet Sleeping Cap Satin Bonnet Silk Hair Cap Hat,KSh 578,KSh 295,49%
Fashion 2 In 1 Men's Short Sleeve T-shirt Shorts Casual Set-White,"KSh 1,416",KSh 838,41%
Fashion Hard Khaki Trouser Pants -Brown,"KSh 1,299",KSh 960,26%
Fashion Mens Long Sleeve Dress Shirts - White,"KSh 1,190",KSh 539 - KSh 599,55%
Adidas Essentials Embroidered Small Logo T-Shirt Men,"KSh 3,809","KSh 1,905",50%
Fashion 3-Pack V-Neck Heavy Duty 160 GSM T-shirts White/Black/White,"KSh 1,200",KSh 789 - KSh 885,34%
Defacto Man Slim Fit Knitted Short - Grey,"KSh 2,226",KSh 891,60%
Fashion 6Pcs Pure Cotton Checked Men's Boxers – Multicolor,"KSh 899 - KSh 1,250","KSh 799 - KSh 1,199",11%
Fashion Mens Long Sleeve Shirts Casual Trendy Sweatshirts Sport-Multicolour,"KSh 1,359",KSh 880,35%
ASHION Unisex Black & White Varsity Jacket - Classic Letterman Style With Free Necklace,"KSh 2,780","KSh 1,390",50%
Fashion Plain Stylish Slim Fit Black Jeans-Black,"KSh 1,800","KSh 1,169 - KSh 1,269",35%
Fashion Jungle Green Men's Cargo Pant,"KSh 2,000 - KSh 2,500","KSh 1,699 - KSh 2,000",32%
Fashion Men's Hawaiian Ink Print  Bottom-down Beach Short Sleeve T-Shirt Casual Tops,"KSh 1,378",KSh 951,31%
Fashion 2 IN 1 Men Casual Pants Sports Jogging Pants,"KSh 1,010",KSh 515,49%
Fashion Hard Khaki Men's Trouser Casual-Green,"KSh 1,249 - KSh 2,099","KSh 1,145 - KSh 2,099",33%
Yixin 3-piece/set Women's Top Printed Short Sleeved Personalized T-shirt,"KSh 1,999","KSh 1,083",46%
Adidas Loungewear Essentials 3-Stripes Leggings Women,"KSh 6,509","KSh 3,255",50%
Nylon Tummy Slimming Corset One-piece Full Body Shaper Bodysuit - Brown,"KSh 1,551",KSh 791,49%
Fashion Party Wear Rave Clothing Festival Outfits Multi Color Print Cover Up Dresses ODM,"KSh 1,425",KSh 778,45%
"Fashion Sexiest Black Mock Neck Stretchy Bodycon Dress (Hips 34-42"" Fit)",KSh 650,KSh 573,12%
Fashion Women's Sexy Lingerie Underwear - Black,"KSh 1,333",KSh 750,44%
Fashion Elastic Belt Corset Tummy Shaper(Waist 26-34inches),KSh 599,KSh 445,26%
Defacto Woman Special Collection Paperbag Denim Trousers - Blue,"KSh 4,095","KSh 1,637",60%
Fashion Europe And The United States Women's Fashion Long Sleeve Loose Dreeses,"KSh 1,425",KSh 738,48%
Yixin 3-piece/set Women's T-shirt Fashion Casual T-shirt,"KSh 1,999","KSh 1,083 - KSh 1,199",46%
Fashion 3PCs Desire Eyelash Soft Lace French Thong Panties,KSh 845,KSh 599,29%
Defacto Woman Standart Fit Knitted Short - Green,"KSh 1,673",KSh 669,60%
Fashion Full Body Shaper Tummy Control Waist Bodysuit,"KSh 1,575",KSh 955,39%
Fashion Ladies Office Clothing Long Dresses Turkey Floral Sleeve Blue,"KSh 1,470","KSh 1,100",25%
Fashion Highwaist Soft Cotton Stretch Ladies Tight,KSh 600,KSh 395,34%
8PCS Stackable Stainless Steel Handle Precision Measuring Spoon Set,KSh 600,KSh 470,22%
2 Layer Toilet Rack Shelf Bathroom Sundries Storage,"KSh 2,000","KSh 1,150",43%
Womens Mens Fashion Polyester Cotton Socks Sports Ankle Socks -5 Pairs,"KSh 1,351",KSh 689,49%
"Hair Dryer Cap, Absorbent Dry Hair Towel For Women - White",KSh 650,KSh 310,52%
Hair Removal And Shaving USB Rechargeable Lint Remover,"KSh 1,224",KSh 624,49%
Fashion Baseball Cap Printed Letter Duckbill Cap Spring Casual Sun Hat,KSh 420,KSh 214,49%
Transparent Green Small Fresh Hair Clip,KSh 288,KSh 147,49%
Night Light Humidifier Spray Diffuser Home Decor - White,"KSh 2,000","KSh 1,050",48%
Quartz Square Watch With Diamonds For Women-Gold,"KSh 1,684",KSh 842,50%
Fashion Sling Dress Sleeveless Hanging Neck Tight-fitting Hip Skirt - Blue,KSh 661,KSh 337,49%
Watercolour Gold Foil Textured Print Pillow Cover,KSh 602,KSh 301,50%
Fashion Women's High-Stretch Fitness Pants Legging Gym Sports Yoga Tight - Black,"KSh 1,584",KSh 808,49%
Fashion Front Zip Long Sleeve Bodysuit Sexy Ribbed Tops For Ladies - Beige,"KSh 1,520",KSh 775,49%
Garnier Day & Night Vitamin C Serum Routine Pack,"KSh 4,250","KSh 2,550",40%
NIVEA Radiant & Beauty Advanced Care Lotion For Women - 400ml (Pack Of 2),"KSh 1,460","KSh 1,170",20%
Mizani Miracle Length Hairline  And Root  Stimulator,"KSh 5,972","KSh 3,583",40%
NIVEA UV Face Shine Control Cream SPF 50 - 50ml,"KSh 1,300","KSh 1,001",23%
"Dettol Antibacterial Soap SkinCare, 175g",KSh 300,KSh 225,25%
Cosrx Advanced Snail Mucin 96 Power Essence,"KSh 4,150","KSh 3,200",23%
Maybelline Superstay Skin Tint Shade  67 With Vitamin C,"KSh 2,500","KSh 1,750",30%
Vaseline MEN Fast Absorbing Lotion 400ml + FREE 100ml Petroleum Jelly,KSh 550,KSh 492,11%
Veet Veet Cream Normal 100g,"KSh 1,000",KSh 719,28%
Ard Alzaafran Mousuf Wardi Perfume 100ML,"KSh 2,200","KSh 1,699",23%
Hair Clipper/Hair Trimmer/Shaving Machine-Gold,KSh 637,KSh 325,49%
"NIVEA Pearl & Beauty Anti-Perspirant Rollon, 48h - 50ml (Pack Of 2)","KSh 1,040",KSh 780,25%
Garnier Pure Active 3 In1 Charcoal  Anti  Blackhead Mask Wash Scrub -150ml,"KSh 1,345",KSh 874,35%
Revlon Ultra HD Vinyl Lip Polish- 910 Cherry On Top,"KSh 1,900",KSh 999,47%
"Ramtons RF/335 - 85L Single Door Refrigerator – Silver, (1YR WRTY)","KSh 24,950","KSh 17,999",28%
Fashion Arrow Pendant Necklace Long Necklace Jewelry Chain,KSh 498,KSh 279,44%
"Fashion Sunglasses For Men Glasses, Men's Retro Thick-edge Metal Frame Trendy Sunglasses",KSh 831,KSh 499,40%
D18 Smart Watch IP65 Waterproof Heart Rate/Blood Pressure/Blood Oxyge Monitor,"KSh 1,165",KSh 699,40%
59 Keys-Suitable For Ipad Mobile Tablet Mini Wireless Bluetooth Keyboard,"KSh 1,500",KSh 990,34%
Fashion Silver Aluminium Credit Pop Up Card Holder,"KSh 1,133",KSh 680,40%
4 USB Britain Standard Quick Chagers Multi-Port For Iphone,KSh 733,KSh 430,41%
3110 Phone/Camera Foldable Tripod Stand,"KSh 1,665",KSh 890,47%
RGB Portable Bluetooth Speaker AUX Audio 360 Surround Sound,"KSh 1,331",KSh 799,40%
Ramtons RM/399-corded Electric Kettle 1.7 Ltrs- White (1YR WRTY),"KSh 1,870","KSh 1,329",29%
Fashion Men's Shoes Formal Casual Shoes Shoes For Men,"KSh 1,991","KSh 1,154",42%
Fashion Computer Glasses Photochromic Glasses  Anti Blue Light Glasses,"KSh 1,595",KSh 957,40%
Fashion Computer Glasses Anti Blue Light Glasses Blue Light Block Glasses,"KSh 1,428",KSh 799,44%
Ramtons RM/609-cordless Electric Kettle 1.7 Litres- Black & Red (1YR WRTY),"KSh 2,100","KSh 1,858",12%
Fashion Classic Men's Watch Watches For Men Business Watches Wrists Watch,KSh 798,KSh 479,40%
L'Oréal professionnel Anti-hair Loss Treatment Aminexil L'Or&eacute;al Professionnel 42x6ML,"KSh 11,114","KSh 9,447",15%
L'Oréal professionnel L’Oréal Professionnel Silver Shampoo - SERIE EXPERT - 300ml,"KSh 2,156","KSh 1,833",15%
L'Oréal professionnel L&rsquo;Or&eacute;al Professionnel - Absolut Repair Shampoo  300ml,"KSh 2,156","KSh 1,833",15%
L'Oréal professionnel Absolut Repair Conditioner  200ml,"KSh 2,156","KSh 1,833",15%
L'Oréal professionnel L&rsquo;Or&eacute;al Professionnel - Absolut Repair Shampoo 500ml,"KSh 3,483","KSh 2,961",15%
L'Oréal professionnel Curl Expression Intensive Moisturizer Rich Mask - Luxurious Feel 500ml,"KSh 4,645","KSh 3,948",15%
L'Oréal professionnel L&rsquo;Or&eacute;al Professionnel Curl Expression  Definition Activator Leave In 250ML,"KSh 3,152","KSh 2,679",15%
L'Oréal professionnel L'Or&eacute;al Professionnel  Scalp Advanced 2-in-1 Deep Purifier Clay Mask 250ml,"KSh 2,571","KSh 2,185",15%
L'Oréal professionnel Vitamino 300ML Shampoo,"KSh 2,156","KSh 1,833",15%
L'Oréal professionnel 10 In 1 Multipurpose  Absolut Repair Oil 90ml,"KSh 3,981","KSh 3,384",15%
L'Oréal professionnel Scalp Advanced 2-in-1 Deep Purifier Clay Mask 500ml,"KSh 4,645","KSh 3,948",15%
L'Oréal professionnel Absolut Repair Molecular Hair Rinse-off Serum 250ML,"KSh 3,649","KSh 3,102",15%
L'Oréal professionnel L&rsquo;Or&eacute;al Professionnel Curl Expression Density Stimulator  90ML,"KSh 5,474","KSh 4,653",15%
L'Oréal professionnel L&rsquo;Or&eacute;al Professionnel Curl Expression Curls Reviver Leave In  190ML,"KSh 3,152","KSh 2,679",15%
L'Oréal professionnel L&rsquo;Or&eacute;al Professionnel - Absolut Repair Golden Mask 250ml.,"KSh 2,239","KSh 1,903",15%
Full Touch Screen Smart Watch For Android & IOS-Pink,KSh 900,KSh 499,45%
Fashion Breathable BriefsMid-rise Seamless ComfortHigh ElasticityAll-season Model,"KSh 1,379",KSh 499,64%
Mavazi Afrique Africa Fingerprint - Black,"KSh 1,198",KSh 499,58%
Fashion High Stretch Soft Boxer Briefs Stretch Cotton Shorts,"KSh 1,379",KSh 499,64%
Fashion Men Loafers Shoes Casual Pu Leather Shoes Sneaker Shoes Black-EU41,KSh 998,KSh 499,50%
"Fashion (Black)Girl Women PU Leather Clutch Wallet Long Card Holder Purse Box Handba WAR,",KSh 748,KSh 499,33%
Baby Cot Net / Fitted Cot Net,KSh 800,KSh 499,38%
Fashion Infant Baby Girl Embroidery Flowers Short Sleeves Princess Dress-Pink/White-6-12M,"KSh 1,200",KSh 499,58%
