Product Name,Old Price,New Price,Discount,Rating,Ratings Count
Foldable Portable Laptop Stand With Mobile Phone Stand 2 In 1,1490.0,760,49%,4.3,153.0
Fashion Mens Long Sleeve Casual Pattern Floral Business Printed Shirts Official Vintage,1500.0,801890,47%,3.7,61.0
Fashion Mens Sport Hoodies Casual Long Sleeves Sweatshirts,1125.0,638,43%,3.3,12.0
RichRipple 180 °Rotatable Phone Holder Retractable Disc Base Phone Stand,609.0,316,48%,3.7,42.0
Fashion New Women Shoes Sports Ladies Shoes Women Sneakers,2618.0,1590,39%,4.4,118.0
RichRipple 20000mAh PD40W Portable Power Bank Premium Black,1837.0,1453,21%,4.3,45.0
Fashion Sneakers Women Shoes Women's Shoes,599919.0,495,46%,3.5,178.0
Fashion Women Shoes Boots Heels Martin Boots Ankle Boots Ladies Shoes Combat Boots,1934.0,1099,43%,4.3,150.0
Deliya Hair blow dry Hair Dryer Hair Tools+ Nail Clipper Set 6 Gifts,2320.0,1680,28%,3.5,80.0
Fashion Lace Up Sneakers Women's Shoes-Black,890.0,540,39%,4.7,16.0
ALagzi 2024 Mens Casual Noble Shoes Running Sneakers - Black/Gold,15572137.0,1090,49%,3.7,73.0
RichRipple 6A 120w Super Fast Charge 3in1 USB Charging Cable,419.0,279,33%,3.8,78.0
Fashion Men's Fashion Casual Sneakers - Black,17492245.0,10711190,52%,3.7,85.0
Neckband Wireless Bluetooth In-Ear Sports Earphone Headset,642.0,369,43%,3.7,60.0
RichRipple RR31 Wireless Headset Bass LED Display Charging Case,899.0,465,48%,3.1,28.0
RichRipple 6in1 10 Inch Ring Light+2.1M Tripod Stand For Tiktok Youtube Gift:Mic+Remote,2599.0,1522,41%,,56.0
Stereo Bluetooth Headphones Wireless Noise-cancelling Earbuds,670.0,590,12%,4.4,17.0
Fashion Elegant Studed Ladies Wristwatch With Hand Chain-Rose Gold,1059.0,524,51%,,98.0
Wireless Bluetooth Earphone Digital Power LED Display,1078.0,584,46%,3.7,23.0
Fashion Men Pants Trousers Overalls Cargo Pants Men Clothes,1214.0,719,41%,3.2,78.0
Fashion Women Shoes Sneakers Casual Shoes Sport Shoes Running Sneakers,1399.0,1099,21%,4.3,61.0
Fashion Men's Hawaiian Ink Print  Bottom-down Beach Short Sleeve T-Shirt Casual Tops,1500.0,900,40%,,36.0
"Men's 2-piece Set - T-shirt + Trousers, Hip-hop Athleisure Loose Suit",1620.0,880,46%,,12.0
RichRipple 6Inch LED Selfie Ring Light & Tripod Stand 2 Phone Holders,999.0,530,47%,,35.0
Fashion Women Shoes Sandals Heels Slippers Ladies Shoes Casual Shoes,1999.0,989,51%,,59.0
Fashion Women Shoes Ladies Shoes Sneakers Women Shoes,895986.0,486,51%,3.8,185.0
Fashion Mens Slipon Sports Shoes Loafers Canvas Casual Classic Running Sneaker Blue,1600.0,690,57%,4.4,9.0
Digital Blood Pressure Monitor Machine Health Vascular Heartbeat Test - White,2300.0,1680,27%,4.6,76.0
RichRipple P9 Bluetooth Headsets Hi-Fi Stereo Noise Reduction Headphone,1377.0,651,53%,3.6,66.0
Fashion Casual Shoes Comfort Men's Sneakers,2590.0,2290,12%,3.5,34.0
Professional Electric Hot Comb Straightener,2009.0,1349,33%,4.1,79.0
Portable Laptop Riser Stand Foldable Desktop Laptop Holder With 8 Levels Height,1503.0,799,47%,4.3,85.0
Wireless 2.4G Mouse Rechargeable 5.2 Bluetooth Silent Mouse,1438.0,789,45%,4.5,128.0
Bluetooth Speaker Portable TF Card FM Mode HD Sound Quality,1399.0,745,47%,3.9,29.0
Fashion 2 In 1 Men's Short Sleeve T-shirt Shorts Casual Set-White,1416.0,873,38%,3.8,20.0
Fashion Mens Zipper Turtleneck Long Sleeve Varsity Jackets Lightweight Sport Coats - Black,1536.0,937,39%,3.7,55.0
Ultra-thin Wireless Mouse 2.4G Rechargeable,741.0,450,39%,4.4,537.0
Fashion Women's Luxurious Fine Diamond Pearl Hollow Hoop Heart  Earrings Set 9 Pair,709.0,351,50%,4.4,26.0
Fashion Men Printed T-shirt Slim Fit,1333.0,750,44%,3.5,68.0
Foldable Automatic Water Dispenser Pump Rechargeable Wireless Water Pump,1133.0,749,34%,4.3,99.0
Fashion Men's High-top Sports Casual Shoes Tide Shoes.,26652900.0,16991899,36%,4.3,28.0
RichRipple Phone Tripod 3in1 Wireless Remote Control Selfie Stick With LED Light,699.0,456,35%,3.9,48.0
Fashion Party Wear Rave Clothing Festival Outfits Multi Color Print Cover Up Dresses ODM,1425.0,792,44%,4.6,13.0
Fashion Mens Boots Safety Boots Fashion Mens Shoes Boots Outdoor Hiking Boots -Khaki,3902.0,2799,28%,4.4,329.0
Fashion Men Black Pocket Casual Pants Cargo Pants Harem Joggers,1541.0,980990,36%,3.6,65.0
300Mbps WiFi Repeater WiFi Signal Range Extender WiFi Boost,2189.0,1251,43%,,41.0
Wlisth Men's European Business Waterproof Watch - BLACK,1778.0,985,45%,4.1,501.0
Fashion 2 In 1 Men T-shirts Shorts Set,5071330.0,259799,49%,3.5,4.0
2pcs Men Bead Fluid Exclusive Antiperspirant Flavor Deodorization,203.0,104,49%,3.7,13.0
"C Idea Tablet 7-Inch, Android Dual Camera Sim 6GB+128GB Storage, Adult Tablet Black",9606.0,4899,49%,3.8,8.0
Foldable Electric Dry Iron 50ml Water Tank Portable Travel Steam Iron Box,1710.0,1050,39%,3.7,39.0
Fashion Men's Belt Leather Automatic Buckle Business Belts,710.0,372,48%,3.9,58.0
